name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
P03,Training,self-guided,0.3152,0.1808,0.21426666666666666,0.28973333333333334,18.912,10.848,12.856,17.384,0.012,0.46400000000000036,0.07245977011494256,0.06155509719553497,0.016,0.3800000000000003,0.07090196078431378,0.05388389414697968,0.012,0.3080000000000002,0.05638596491228074,0.036430060069954945,0.012,0.3040000000000002,0.07009677419354844,0.04746058115729015,0.9449968267400042,0.01713560397715253,0.016077850645229534,0.021789718637613708,0.025811209439528023,0.9435840707964602,0.015486725663716814,0.015117994100294985,0.02551337896701929,0.013067828251400125,0.9290603609209708,0.03235843186060983,0.025080533824206167,0.006902899217671422,0.025080533824206167,0.9429360331339163,0.8599144386491229,0.38857187740289445,0.2979778188584635,0.05296754497839474,0.12039719740937017,2.0,1.9651704599920228,0.4130876074498975
P03,Slow,guided,0.38263829787234044,0.08161702127659574,0.2825531914893617,0.2531914893617021,17.984,3.836,13.28,11.899999999999999,0.012,0.36000000000000026,0.06838022813688216,0.05157806211174195,0.012,0.2480000000000002,0.04262222222222224,0.03861219662742673,0.012,0.18800000000000014,0.0504942965779468,0.03154595545983701,0.012,0.32400000000000023,0.05458715596330278,0.046184156902472434,0.9415035587188612,0.00556049822064057,0.034030249110320286,0.018905693950177938,0.025052192066805846,0.907098121085595,0.024008350730688934,0.04384133611691023,0.046686746987951805,0.0051204819277108436,0.9207831325301205,0.027409638554216867,0.02823529411764706,0.016134453781512605,0.028907563025210085,0.9267226890756303,0.8324679298964628,0.23329684758595903,0.15842222932151506,0.11092663759767815,0.32982221539131057,2.0,1.8423191728465802,0.4649471819881542
P03,Slow,self-guided,0.2796666666666667,0.199,0.2328,0.2885333333333333,16.78,11.94,13.968,17.312,0.012,0.2640000000000002,0.06962655601659756,0.050042404841592635,0.008,0.5760000000000004,0.05796116504854371,0.061786654909100396,0.012,0.3720000000000003,0.05609638554216871,0.04295125128486593,0.008,0.3880000000000003,0.061608540925266936,0.05615309967587884,0.9425506555423123,0.0066746126340882,0.0367103694874851,0.014064362336114421,0.010385259631490788,0.9309882747068676,0.009380234505862646,0.04924623115577889,0.03923253150057274,0.010595647193585338,0.9286941580756014,0.02147766323024055,0.016639704183036747,0.03258608735844696,0.01548416917032586,0.9352900392881904,0.9004125020011506,0.09218034383543897,0.3426082029580447,0.04582222473360157,0.41980173047406544,2.0,1.984527150972724,0.43436525111991453
P03,Start,guided,0.36417021276595746,0.09770212765957446,0.19761702127659575,0.3405106382978723,17.116,4.592,9.288,16.003999999999998,0.012,0.32000000000000023,0.053823899371069205,0.043248519019424524,0.012,0.12800000000000009,0.034014814814814824,0.022257078835710684,0.012,0.16000000000000011,0.03730120481927712,0.022308030649973075,0.012,0.2760000000000002,0.0569537366548043,0.04244286083919591,0.9256835709277869,0.007712082262210797,0.030848329048843187,0.03575601776115915,0.0313588850174216,0.882404181184669,0.04790940766550523,0.03832752613240418,0.050387596899224806,0.020671834625323,0.8927648578811369,0.03617571059431524,0.041,0.0135,0.0155,0.93,0.7602517912768452,0.323843319317962,0.05576047719058211,0.08202161749796859,0.29862637727033237,2.0,1.8500480710711118,0.5318898841130857
P03,Start,self-guided,0.2736521739130435,0.092,0.2778260869565217,0.3565217391304348,12.588,4.232,12.78,16.4,0.012,0.21600000000000016,0.04432394366197185,0.03238425745522668,0.012,0.23200000000000018,0.04030476190476193,0.03472535064364743,0.012,0.25200000000000017,0.046985294117647076,0.039366674711672996,0.016,0.32000000000000023,0.06890756302521012,0.053640413648797486,0.9097553225293931,0.016205910390848427,0.04035589450270099,0.033682872577057515,0.05198487712665406,0.9007561436672968,0.030245746691871456,0.017013232514177693,0.03600500939261114,0.013149655604257984,0.9151534126487163,0.035691922354414526,0.027804878048780488,0.002926829268292683,0.027317073170731707,0.9419512195121951,0.7432012104958783,0.17555219925905105,0.1083527349717862,0.18207000675690915,0.2772262695081319,2.0,1.8721347006653555,0.5032991176874727
P03,Fitness,guided,0.17913513513513513,0.19589189189189188,0.31145945945945946,0.31351351351351353,6.628,7.247999999999999,11.524,11.6,0.012,0.23600000000000018,0.03641758241758243,0.028036109343529275,0.012,0.4280000000000003,0.04474074074074076,0.04699613269557609,0.012,0.2920000000000002,0.05567149758454109,0.042289642056814285,0.012,0.18400000000000014,0.050434782608695675,0.03654732023359703,0.8907004830917874,0.05495169082125604,0.02355072463768116,0.030797101449275364,0.04359823399558499,0.9105960264900662,0.02207505518763797,0.023730684326710817,0.015619576535925026,0.009024644220756682,0.9281499479347449,0.047205831308573414,0.02,0.015517241379310345,0.04379310344827586,0.9206896551724137,0.702860251804146,0.10698865338638956,0.1883907823252014,0.21048352899749315,0.19699728709506195,2.0,1.9539087843113645,0.5350876716105145
P03,Fitness,self-guided,0.2104,0.12293333333333334,0.34386666666666665,0.3228,12.624,7.376,20.632,19.368,0.012,0.20000000000000015,0.039573667711598766,0.028431406693090175,0.012,1.1200000000000008,0.04214857142857144,0.08828085497491545,0.012,0.3080000000000002,0.05591327913279136,0.041753348045242174,0.016,0.35200000000000026,0.06413245033112586,0.0509926206187919,0.8989226869455006,0.030418250950570342,0.039923954372623575,0.03073510773130545,0.04772234273318872,0.9050976138828634,0.02386117136659436,0.023318872017353578,0.029468786351298952,0.010663047692904227,0.9284606436603334,0.031407522295463355,0.01611237347655443,0.004957653377401363,0.041107209254286306,0.9378227638917579,0.7617759976785844,0.11512274488795878,0.18515966232346956,0.21452479921499132,0.24696879125216473,2.0,1.9010642957910195,0.5019734098203722
P03,Your,guided,0.3387,0.2278,0.2887,0.1448,13.548,9.112,11.548,5.792000000000001,0.012,0.21200000000000016,0.052921875000000035,0.0363175253353581,0.008,0.32800000000000024,0.03689068825910933,0.0310806739608118,0.012,0.21200000000000016,0.04341353383458649,0.02942382233148374,0.012,0.11600000000000008,0.031824175824175835,0.016917767113332493,0.9244168881015649,0.019191024505462062,0.04281074697372306,0.013581340419250075,0.0324846356453029,0.8915715539947322,0.03467954345917471,0.041264266900790166,0.04780048493245584,0.03013508832698303,0.9078628333910634,0.014201593349497749,0.0304077401520387,0.06565307532826538,0.02902557014512785,0.874913614374568,0.7759682991211329,0.3607760153478218,0.15444467224285827,0.20543730787843645,0.05531030365201624,2.0,1.9363205981830944,0.5904131645984203
P03,Your,self-guided,0.1898,0.099,0.31406666666666666,0.39713333333333334,11.388,5.94,18.844,23.828,0.012,0.17600000000000013,0.03834343434343436,0.024905543424221667,0.012,0.2680000000000002,0.04096551724137933,0.03676062619876825,0.012,0.2640000000000002,0.04945931758530186,0.037611797285856605,0.012,0.4040000000000003,0.07091666666666671,0.05617080845263158,0.8956796628029505,0.02845100105374078,0.03898840885142255,0.0368809272918862,0.04983164983164983,0.9023569023569024,0.02962962962962963,0.01818181818181818,0.029293143706219486,0.008278497134366377,0.9191254510719592,0.04330290808745489,0.014271323035594358,0.0041974479516454,0.0377770315648086,0.9437541974479516,0.7880889849992393,0.11522977561771168,0.14865711617868538,0.19853341386463935,0.32566867933820287,2.0,1.8392051412284651,0.49428242595104416
P15,Successful,guided,0.10947368421052632,0.3291578947368421,0.3423157894736842,0.21905263157894736,4.16,12.508,13.007999999999997,8.324,0.008,0.09600000000000006,0.025365853658536587,0.012994850945683662,0.012,0.19200000000000014,0.044831541218638006,0.03482835959949409,0.012,0.22400000000000017,0.04532404181184671,0.03152748174082596,0.012,0.11600000000000008,0.033296000000000006,0.017975549616075732,0.8423076923076923,0.0673076923076923,0.05096153846153846,0.03942307692307692,0.02494403581707707,0.9107771026543012,0.03517748640869843,0.02910137511992325,0.015072285450630576,0.036604121808674256,0.9120270685942787,0.03629652414641649,0.0177799135031235,0.04324843825084094,0.059106198942815956,0.8798654493032196,0.8734913748386246,0.02645003978589013,0.36416120856526774,0.3748725773231717,0.10800754916429506,2.0,1.8863505562266814,0.6304698849685151
P15,Successful,self-guided,0.13746666666666665,0.21653333333333333,0.3416,0.3044,8.248,12.992,20.496,18.264,0.012,0.08000000000000004,0.02530061349693252,0.010995891574832033,0.012,0.18000000000000013,0.03401047120418849,0.02148955414787153,0.012,0.2920000000000002,0.050482758620689676,0.0393241355120405,0.012,0.18000000000000013,0.04454634146341466,0.028605543532005343,0.8419010669253152,0.049466537342386034,0.0504364694471387,0.058195926285160036,0.031711822660098525,0.8823891625615764,0.04064039408866995,0.04525862068965517,0.02615144418423107,0.025175644028103045,0.9207650273224044,0.027907884465261514,0.019496166484118293,0.03285870755750274,0.03723986856516977,0.9104052573932092,0.885724070566229,0.030468101173213507,0.14125314460217364,0.44430912991586896,0.269693694874973,2.0,1.923196773033867,0.6277005612579157
P15,Training,guided,0.14962162162162163,0.2531891891891892,0.2602162162162162,0.33697297297297296,5.536,9.368,9.628,12.468,0.012,0.06800000000000003,0.02396536796536797,0.009423127793822714,0.012,0.1520000000000001,0.03589272030651342,0.021614259888577438,0.012,0.1320000000000001,0.0368888888888889,0.02126297465319934,0.012,0.2480000000000002,0.052167364016736426,0.039703993951861055,0.8336948662328272,0.06869125090383225,0.060014461315979754,0.03759942154736081,0.02860802732707088,0.8885567890691717,0.04654141759180188,0.036293766011955594,0.02700457000415455,0.039052762775238885,0.891566265060241,0.0423764021603656,0.03176130895091434,0.02277831247994867,0.02213666987487969,0.9233237086942573,0.8871198515101093,0.03209251041426602,0.1718535987904696,0.22355609682660116,0.45961764547877254,2.0,1.946009043568933,0.651936037592431
P15,Training,self-guided,0.1498,0.2558666666666667,0.281,0.31333333333333335,8.988,15.352000000000002,16.86,18.8,0.012,0.07600000000000004,0.02538983050847458,0.010915727961085567,0.012,0.1360000000000001,0.03977202072538862,0.023919334312387495,0.012,0.1560000000000001,0.03948477751756442,0.024262356568601862,0.012,0.21200000000000016,0.04676616915422888,0.03249722605461919,0.842456608811749,0.0534045393858478,0.06230529595015576,0.04183355585224744,0.024498305968204327,0.8996611936408653,0.04222048475371384,0.033620015637216574,0.023962040332147095,0.035112692763938316,0.8986951364175564,0.04223013048635824,0.033829787234042556,0.025106382978723404,0.026595744680851064,0.914468085106383,0.8847358890860695,0.03499941656527028,0.2132509367502408,0.2711630662792646,0.3653224694912937,2.0,1.9526603782791168,0.6423707799154639
P15,Slow,guided,0.2551489361702128,0.3262978723404255,0.18893617021276596,0.22961702127659575,11.992,15.335999999999999,8.88,10.792,0.012,0.1520000000000001,0.036898461538461554,0.024039560294888893,0.012,0.2480000000000002,0.04777570093457946,0.03899611972338602,0.012,0.11200000000000007,0.02911475409836066,0.013490614054315075,0.012,0.16400000000000012,0.03492556634304208,0.021626671177799282,0.8915943962641761,0.03669112741827885,0.03802535023348899,0.03368912608405604,0.026350117401513176,0.9165144795199582,0.025045656144012524,0.03208974693451604,0.054954954954954956,0.044144144144144144,0.8626126126126126,0.038288288288288286,0.03780578206078577,0.04151223128243143,0.035211267605633804,0.885470719051149,0.8683672184534175,0.16952189869369844,0.4561263982467639,0.08630146434109466,0.15641745717186045,2.0,1.9716213637758964,0.6575432419981113
P15,Slow,self-guided,0.15293333333333334,0.3522666666666667,0.1558,0.339,9.176,21.136,9.348,20.34,0.012,0.1400000000000001,0.034496240601503775,0.021078308723635263,0.012,0.2720000000000002,0.04760360360360363,0.03278081159208332,0.012,0.1520000000000001,0.03280000000000001,0.0194688775480883,0.012,0.2880000000000002,0.04550335570469801,0.03301134456775451,0.8840453356582388,0.03879686137750654,0.045335658238884045,0.03182214472537053,0.01457229371688115,0.9159727479182438,0.016086298258894776,0.05336866010598032,0.04835258878904578,0.03423192126658109,0.8780487804878049,0.03936670945656825,0.014948859166011016,0.05389457120377655,0.01888276947285602,0.9122738001573564,0.8377957963024173,0.07433665670245133,0.36255052479771166,0.06721551367853673,0.33369310112371753,2.0,1.8915030190051636,0.5909428820682416
P15,Start,guided,0.3468936170212766,0.058893617021276594,0.48936170212765956,0.10485106382978723,16.304,2.768,23.0,4.928,0.012,0.23200000000000018,0.042348051948051975,0.033364004284848384,0.012,0.1440000000000001,0.02853608247422681,0.019743751121920387,0.012,0.45600000000000035,0.06005221932114886,0.05383853036136374,0.012,0.1440000000000001,0.03179354838709678,0.01992913146520281,0.9057668711656441,0.0068711656441717795,0.07116564417177915,0.016196319018404907,0.04190751445086705,0.8598265895953757,0.046242774566473986,0.05202312138728324,0.051130434782608696,0.006260869565217392,0.9333913043478261,0.009217391304347827,0.05032467532467533,0.026785714285714284,0.048701298701298704,0.8741883116883117,0.8560891487890335,0.24903011662905655,0.02540440449478737,0.538556878683555,0.043097748981634654,2.0,1.616168770892285,0.5201532808393197
P15,Start,self-guided,0.14817391304347827,0.20156521739130434,0.3351304347826087,0.3151304347826087,6.816,9.272,15.416,14.496,0.012,0.11200000000000007,0.02505882352941177,0.011824553657713783,0.012,0.12400000000000008,0.034088235294117655,0.01900753356382493,0.012,0.25600000000000017,0.051215946843853846,0.036660196102262094,0.012,0.16800000000000012,0.043271641791044785,0.02848944714797149,0.8403755868544601,0.04636150234741784,0.045774647887323945,0.06748826291079812,0.0362381363244176,0.8826574633304572,0.03192407247627265,0.04918032786885246,0.02828230409963674,0.022314478463933574,0.9218993253762325,0.027503892060197196,0.021805133866961084,0.02953353574385868,0.040850124206458734,0.9078112061827215,0.8887843818966061,0.030816273141270095,0.10375232793293314,0.48261630630885594,0.27159947451354693,2.0,1.927488496754831,0.6311433660376881
P15,Fitness,guided,0.15135135135135136,0.2825945945945946,0.21254054054054053,0.3535135135135135,5.6,10.456,7.864,13.08,0.012,0.10400000000000006,0.03111111111111112,0.014880594704696192,0.012,0.1400000000000001,0.041657370517928304,0.02412835315049802,0.012,0.10400000000000006,0.0333220338983051,0.018264015447596343,0.012,0.18000000000000013,0.04954545454545457,0.032113992899434125,0.8714285714285714,0.03357142857142857,0.052142857142857144,0.04285714285714286,0.021431305013394564,0.9043245311902028,0.027554535017221583,0.046689628779181015,0.03560528992878942,0.042726347914547304,0.8799593082400814,0.04170905391658189,0.01651376146788991,0.0363914373088685,0.02782874617737003,0.9192660550458716,0.8495976253154516,0.06855278869043235,0.2551616936843317,0.10558868426675438,0.4202944586739331,2.0,1.9326936875536846,0.6227229187637209
P15,Fitness,self-guided,0.13873333333333332,0.3214666666666667,0.1862,0.3536,8.324,19.288,11.172,21.216,0.008,0.08000000000000004,0.027746666666666673,0.012324061379630054,0.012,0.22800000000000017,0.04464814814814817,0.032195385802021644,0.012,0.18000000000000013,0.030608219178082204,0.018031097592501617,0.016,0.22800000000000017,0.04778378378378381,0.033468932859654535,0.85625,0.040865384615384616,0.05048076923076923,0.052403846153846155,0.01783492326835338,0.9104106180008296,0.026959767731231855,0.04479469099958523,0.04117436448263516,0.04690297171500179,0.8693161475116362,0.042606516290726815,0.018665158371040724,0.04072398190045249,0.024321266968325792,0.916289592760181,0.8659313789391122,0.041423236137372046,0.3278725162931695,0.07524496887496086,0.42139065763360983,2.0,1.903542294591427,0.6305219818661477
P15,Your,guided,0.1972,0.2556,0.2448,0.3024,7.887999999999999,10.224,9.792,12.096,0.012,0.1560000000000001,0.035531531531531546,0.022012207841350405,0.012,0.22400000000000017,0.04073306772908368,0.025779413289545257,0.012,0.1480000000000001,0.03274916387959867,0.0173378958665741,0.012,0.20800000000000016,0.0436678700361011,0.02777640507439285,0.8874239350912779,0.02484787018255578,0.05070993914807302,0.03701825557809331,0.022700587084148727,0.9021526418786693,0.034833659491193734,0.04031311154598826,0.037173202614379085,0.04370915032679738,0.877859477124183,0.04125816993464052,0.023809523809523808,0.03141534391534392,0.036375661375661374,0.9083994708994709,0.8779813232663165,0.09221351014423593,0.26005750639064296,0.13560260764009466,0.39010769909134285,2.0,1.98373200792606,0.6461029016336961
